DN,area_ha,class
"1",0.242,forest
"1",0.545,forest
"1",0.061,forest
"4",0.484,land
"4",2.785,land
"1",0.242,forest
"1",1.332,forest
"4",0.121,land
"4",0.182,land
"1",0.424,forest
"4",0.061,land
"1",0.121,forest
"1",1.211,forest
"4",0.061,land
"4",0.061,land
"1",0.121,forest
"1",0.121,forest
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"1",0.363,forest
"1",0.121,forest
"4",6.175,land
"1",0.121,forest
"1",1.090,forest
"1",0.182,forest
"1",0.121,forest
"1",0.182,forest
"1",0.061,forest
"4",1.332,land
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"1",0.121,forest
"4",0.061,land
"3",0.121,water
"1",0.061,forest
"1",0.303,forest
"4",0.121,land
"4",0.121,land
"4",0.061,land
"1",0.061,forest
"1",0.242,forest
"4",0.121,land
"4",0.061,land
"1",0.061,forest
"1",0.121,forest
"1",3.209,forest
"4",0.363,land
"4",0.121,land
"1",0.121,forest
"1",0.424,forest
"4",0.363,land
"1",0.303,forest
"1",0.061,forest
"4",0.121,land
"1",6.902,forest
"1",0.182,forest
"4",0.242,land
"4",0.121,land
"4",0.061,land
"1",0.605,forest
"1",0.121,forest
"4",0.061,land
"1",0.182,forest
"1",0.121,forest
"1",0.484,forest
"1",0.363,forest
"1",0.484,forest
"3",0.303,water
"1",0.363,forest
"1",0.121,forest
"1",0.242,forest
"1",0.061,forest
"4",0.061,land
"4",0.061,land
"4",0.061,land
"4",0.061,land
"1",0.061,forest
"1",0.303,forest
"1",0.242,forest
"4",0.303,land
"4",0.121,land
"1",0.242,forest
"3",0.121,water
"1",0.424,forest
"4",0.303,land
"4",0.121,land
"3",0.121,water
"1",0.121,forest
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"3",0.848,water
"1",0.121,forest
"1",0.061,forest
"4",0.303,land
"1",0.545,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"3",0.242,water
"1",0.121,forest
"1",0.121,forest
"4",0.061,land
"1",0.424,forest
"4",0.121,land
"4",0.121,land
"3",0.121,water
"4",0.787,land
"4",0.242,land
"3",0.061,water
"1",0.182,forest
"1",0.242,forest
"3",0.061,water
"1",0.121,forest
"4",0.061,land
"3",0.484,water
"1",0.969,forest
"1",0.182,forest
"4",0.908,land
"3",0.121,water
"3",0.121,water
"1",0.182,forest
"1",0.061,forest
"1",0.121,forest
"3",0.303,water
"3",0.121,water
"1",0.121,forest
"3",0.303,water
"3",0.424,water
"1",0.121,forest
"4",0.121,land
"4",0.787,land
"4",0.182,land
"1",0.182,forest
"3",0.182,water
"4",0.121,land
"3",0.061,water
"4",28.276,land
"1",0.121,forest
"1",0.121,forest
"4",0.121,land
"4",0.121,land
"1",0.121,forest
"1",0.061,forest
"4",0.061,land
"3",0.061,water
"1",0.121,forest
"1",0.061,forest
"1",0.121,forest
"1",3.088,forest
"4",0.061,land
"3",0.061,water
"4",0.061,land
