DN,area,Class
"1",0.061,forest
"4",0.969,land
"1",0.121,forest
"4",0.303,land
"1",0.061,forest
"1",0.182,forest
"4",0.061,land
"1",0.121,forest
"4",1.513,land
"3",0.121,water
"1",0.121,forest
"4",0.121,land
"1",0.121,forest
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"1",0.182,forest
"1",0.182,forest
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"3",0.484,water
"4",0.182,land
"3",0.061,water
"1",0.061,forest
"1",0.908,forest
"1",0.182,forest
"4",0.061,land
"1",0.363,forest
"1",0.121,forest
"1",0.061,forest
"3",0.242,water
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"3",0.242,water
"4",17.195,land
"1",0.182,forest
"1",0.061,forest
"1",0.121,forest
"3",0.121,water
"4",0.061,land
"1",0.061,forest
"1",0.182,forest
"1",0.908,forest
"1",0.121,forest
"1",0.121,forest
"1",0.121,forest
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"1",0.363,forest
"1",0.242,forest
"1",0.182,forest
"1",0.121,forest
"4",0.182,land
"1",0.545,forest
"3",0.424,water
"1",0.121,forest
"1",0.121,forest
"1",1.090,forest
"1",0.061,forest
"1",0.484,forest
"4",0.242,land
"3",0.121,water
"3",0.121,water
"1",1.272,forest
"1",0.061,forest
"3",0.061,water
"1",0.121,forest
"1",0.242,forest
"3",0.061,water
"4",0.061,land
"1",0.121,forest
"1",0.303,forest
"1",0.061,forest
"3",0.061,water
"1",0.182,forest
"1",0.121,forest
"4",10.354,land
"1",0.061,forest
"1",0.606,forest
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"3",0.121,water
"1",0.121,forest
"4",0.061,land
"1",0.242,forest
"1",5.813,forest
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"1",0.848,forest
"4",0.061,land
"1",0.061,forest
"1",0.121,forest
"1",0.121,forest
"1",0.182,forest
"1",0.061,forest
"1",0.182,forest
"1",0.061,forest
"1",0.121,forest
"1",0.182,forest
"3",0.545,water
"1",0.061,forest
"1",0.242,forest
"1",0.182,forest
"1",0.121,forest
"4",0.848,land
"1",0.242,forest
"4",13.866,land
"3",0.303,water
"3",0.061,water
"4",0.182,land
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"3",0.061,water
"1",0.242,forest
"3",0.121,water
"4",0.121,land
"1",0.182,forest
"4",0.424,land
"1",0.969,forest
"4",0.121,land
"1",0.424,forest
"3",0.061,water
"1",0.061,forest
"4",0.061,land
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"4",0.121,land
"3",0.242,water
"3",0.182,water
"1",0.061,forest
"1",0.061,forest
"3",0.242,water
"1",0.121,forest
"1",0.121,forest
"3",0.061,water
"1",2.785,forest
"1",30.517,forest
"4",1.090,land
"1",0.303,forest
"1",8.417,forest
"1",0.182,forest
"4",0.121,land
"1",0.061,forest
"1",0.061,forest
"4",1.090,land
"3",0.061,water
"4",0.242,land
"4",0.121,land
"1",0.303,forest
"1",0.061,forest
"3",0.121,water
"1",0.182,forest
"3",0.121,water
"1",0.061,forest
"1",0.061,forest
"1",3.149,forest
"1",0.061,forest
"4",0.061,land
"1",0.363,forest
"1",1.393,forest
"4",0.182,land
"4",0.303,land
"4",0.606,land
"1",1.029,forest
"1",0.061,forest
"4",0.121,land
"1",0.424,forest
"4",0.061,land
"1",0.666,forest
"1",0.182,forest
"3",0.363,water
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"1",0.182,forest
"1",0.121,forest
"1",0.061,forest
"1",0.061,forest
"4",0.121,land
"1",0.121,forest
"1",0.121,forest
"4",0.908,land
"1",0.545,forest
"1",0.848,forest
"1",0.424,forest
"1",0.242,forest
"1",0.121,forest
"3",20.225,water
"3",0.303,water
"1",0.061,forest
"3",0.121,water
"1",0.061,forest
"1",0.061,forest
"1",0.242,forest
"3",0.242,water
"1",0.424,forest
"4",0.121,land
"1",0.061,forest
"1",0.061,forest
"3",0.242,water
"3",0.061,water
"1",3.270,forest
"1",0.061,forest
"1",0.121,forest
"1",0.121,forest
"4",0.303,land
"3",0.121,water
"1",0.121,forest
"1",0.121,forest
"3",0.484,water
"1",0.666,forest
"1",10.052,forest
"4",0.121,land
"3",0.061,water
"3",0.061,water
"4",0.121,land
"1",0.303,forest
"1",0.121,forest
"1",0.061,forest
"1",0.606,forest
"1",0.545,forest
"3",0.363,water
"1",0.061,forest
"1",0.242,forest
"1",0.182,forest
"4",0.182,land
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"3",0.121,water
"3",0.182,water
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"1",0.061,forest
"3",0.303,water
"4",1.090,land
"3",0.061,water
"1",0.061,forest
"4",15.079,land
"4",0.242,land
"1",0.242,forest
"1",3.028,forest
"1",0.242,forest
"3",0.061,water
"3",0.121,water
"4",0.061,land
"3",0.061,water
"3",3.452,water
"3",0.121,water
"1",0.061,forest
"1",0.121,forest
"1",0.182,forest
"3",0.363,water
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"4",0.121,land
"1",0.545,forest
"1",1.938,forest
"1",0.061,forest
"1",0.061,forest
"4",0.121,land
"1",0.303,forest
"3",0.121,water
"4",0.121,land
"4",0.182,land
"3",0.182,water
"1",5.329,forest
"4",2.665,land
"3",0.121,water
"1",0.303,forest
"1",1.454,forest
"3",0.061,water
"1",0.303,forest
"1",0.242,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"3",0.182,water
"1",0.121,forest
"3",0.121,water
"4",0.121,land
"1",0.061,forest
"1",0.061,forest
"1",8.358,forest
"1",0.121,forest
"1",0.121,forest
"1",0.121,forest
"1",0.787,forest
"3",0.121,water
"1",0.182,forest
"1",0.121,forest
"1",0.061,forest
"1",0.121,forest
"3",0.363,water
"3",0.121,water
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"1",0.061,forest
"1",0.485,forest
"3",2.665,water
"1",0.363,forest
"1",10.841,forest
"1",0.061,forest
"1",0.061,forest
"1",0.545,forest
"1",0.061,forest
"1",45.599,forest
"1",0.121,forest
"4",0.121,land
"1",0.061,forest
"1",0.121,forest
"4",0.061,land
"1",0.303,forest
"4",0.121,land
"3",0.061,water
"1",0.061,forest
"4",0.121,land
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"4",0.121,land
"1",12.174,forest
"1",0.485,forest
"1",0.485,forest
"1",0.121,forest
"1",0.121,forest
"1",0.303,forest
"1",0.061,forest
"1",0.061,forest
"1",1.030,forest
"1",0.061,forest
"1",0.182,forest
"1",0.061,forest
"1",0.485,forest
"1",0.182,forest
"1",0.242,forest
"1",0.121,forest
"1",0.121,forest
"1",0.061,forest
"1",0.061,forest
"1",0.363,forest
"1",0.061,forest
"1",0.242,forest
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"1",0.061,forest
"1",0.182,forest
"1",0.182,forest
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"1",0.182,forest
"1",0.061,forest
"4",0.061,land
"1",0.061,forest
"1",0.606,forest
"4",0.121,land
"4",0.061,land
"1",1.030,forest
"1",0.061,forest
"1",0.485,forest
"3",0.121,water
"1",0.061,forest
"4",0.061,land
"1",0.121,forest
"1",0.061,forest
"4",0.121,land
"4",0.182,land
"1",3.998,forest
"4",0.061,land
"3",0.545,water
"4",0.061,land
"1",0.061,forest
"4",0.303,land
"1",0.242,forest
"1",0.061,forest
"1",0.909,forest
"4",0.121,land
"4",0.363,land
"1",0.061,forest
"1",0.121,forest
"1",0.848,forest
"3",0.061,water
"1",0.121,forest
"3",0.061,water
"4",0.242,land
"1",0.061,forest
"4",0.121,land
"4",0.061,land
"1",0.485,forest
"1",0.061,forest
"4",0.061,land
"4",0.485,land
"4",0.121,land
"1",0.121,forest
"1",0.061,forest
"1",0.121,forest
"1",0.363,forest
"1",0.121,forest
"3",0.121,water
"1",0.061,forest
"3",0.121,water
"4",0.061,land
"4",0.121,land
"4",0.363,land
"3",0.061,water
"1",0.182,forest
"1",0.121,forest
"3",0.121,water
"1",0.242,forest
"1",0.061,forest
"3",0.121,water
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"3",0.061,water
"1",4.846,forest
"4",0.061,land
"1",0.061,forest
"1",0.121,forest
"1",0.121,forest
"3",0.182,water
"1",0.303,forest
"1",0.061,forest
"1",0.121,forest
"1",0.061,forest
"3",0.061,water
"1",0.121,forest
"1",0.363,forest
"1",0.061,forest
"1",0.363,forest
"3",0.303,water
"3",0.121,water
"1",0.061,forest
"3",0.121,water
"1",0.363,forest
"3",0.303,water
"1",0.061,forest
"3",0.061,water
"1",0.182,forest
"1",0.666,forest
"1",0.061,forest
"1",0.303,forest
"1",9.813,forest
"3",0.061,water
"1",0.121,forest
"1",0.121,forest
"3",0.182,water
"3",0.061,water
"3",0.121,water
"1",0.121,forest
"3",0.061,water
"3",0.121,water
"1",0.121,forest
"4",0.061,land
"4",0.121,land
"1",0.061,forest
"1",0.121,forest
"3",0.242,water
"1",0.121,forest
"1",0.061,forest
"3",0.182,water
"1",0.061,forest
"3",0.969,water
"1",0.061,forest
"1",0.061,forest
"1",1.817,forest
"3",0.061,water
"1",0.121,forest
"1",0.061,forest
"3",0.182,water
"1",0.242,forest
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"4",0.424,land
"4",0.061,land
"1",0.848,forest
"1",14.114,forest
"3",0.061,water
"1",1.151,forest
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"4",0.303,land
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",6.482,forest
"3",5.270,water
"1",0.121,forest
"1",0.121,forest
"1",0.061,forest
"4",0.061,land
"1",0.061,forest
"3",1.090,water
"1",1.333,forest
"1",0.061,forest
"3",0.061,water
"3",0.061,water
"3",0.061,water
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"1",0.121,forest
"1",0.182,forest
"3",0.121,water
"1",0.061,forest
"3",0.061,water
"1",0.121,forest
