DN,area_ha
"9",0.061
"4",0.242
"4",0.545
"4",0.061
"12",0.969
"16",0.484
"16",2.785
"9",0.121
"4",0.242
"4",1.332
"16",0.121
"12",0.303
"16",0.182
"9",0.061
"4",0.424
"16",0.061
"4",0.121
"1",0.182
"4",0.061
"12",0.061
"4",0.787
"16",0.061
"16",0.061
"4",0.121
"4",0.182
"12",2.845
"4",0.121
"4",0.061
"4",0.061
"12",0.242
"4",0.121
"4",0.363
"12",0.121
"4",0.121
"9",0.121
"12",1.513
"16",6.175
"12",0.424
"4",0.121
"11",0.121
"4",1.090
"13",0.061
"12",0.121
"4",0.182
"1",0.061
"9",0.121
"4",0.061
"4",0.182
"4",0.061
"9",0.061
"16",1.332
"4",0.061
"4",0.121
"4",0.061
"13",0.121
"12",0.848
"9",0.061
"4",0.121
"16",0.061
"12",0.121
"4",0.061
"4",0.182
"16",0.121
"16",0.121
"1",0.121
"13",0.061
"16",0.061
"13",0.061
"12",0.121
"13",0.121
"1",0.061
"4",0.242
"9",0.182
"16",0.121
"16",0.061
"16",0.061
"13",0.121
"1",0.061
"13",0.061
"13",0.061
"1",0.121
"13",0.061
"4",2.301
"16",0.363
"16",0.121
"9",0.061
"11",0.484
"4",0.121
"13",0.061
"16",0.182
"1",0.424
"16",0.363
"11",0.061
"4",6.539
"1",0.061
"1",0.848
"1",0.182
"4",0.061
"16",0.061
"13",0.121
"4",0.061
"9",0.363
"16",0.121
"13",0.121
"4",0.061
"1",0.061
"13",0.061
"11",0.242
"13",0.061
"4",0.303
"16",0.242
"13",0.121
"13",0.061
"13",0.061
"13",0.182
"9",0.121
"4",0.182
"13",0.121
"11",0.242
"16",16.105
"13",0.182
"16",0.242
"16",0.121
"9",0.182
"9",0.061
"16",0.061
"1",0.121
"3",0.121
"4",0.182
"4",0.121
"12",0.061
"12",0.061
"1",0.242
"16",0.061
"9",0.061
"4",0.121
"1",0.182
"4",0.182
"4",0.121
"12",0.061
"4",0.484
"1",0.545
"4",0.424
"4",0.121
"9",0.303
"9",0.121
"13",0.545
"13",0.121
"13",0.121
"13",0.061
"4",0.363
"12",0.363
"4",0.121
"4",0.242
"1",0.061
"16",0.061
"9",0.121
"16",0.061
"16",0.061
"16",0.061
"1",0.061
"13",0.363
"13",0.121
"13",0.121
"4",0.061
"9",0.182
"12",0.848
"12",0.848
"1",0.121
"4",0.182
"4",0.242
"1",0.061
"16",0.303
"9",0.121
"16",0.121
"1",0.182
"4",0.061
"12",0.121
"9",0.121
"12",0.061
"12",0.182
"9",0.424
"11",0.424
"9",0.121
"12",0.363
"4",0.363
"16",0.303
"1",0.121
"16",0.121
"9",1.090
"12",0.121
"13",0.061
"1",0.121
"13",0.424
"1",0.061
"12",0.242
"11",0.121
"11",0.121
"12",0.061
"12",0.363
"4",0.061
"16",0.182
"13",0.424
"9",0.061
"12",0.061
"4",0.121
"11",0.061
"4",0.061
"16",0.303
"9",0.121
"1",0.121
"4",0.545
"9",0.242
"12",0.121
"4",0.061
"11",0.061
"12",0.061
"1",0.061
"4",0.061
"4",0.061
"16",0.061
"9",0.121
"13",0.061
"9",0.121
"1",0.061
"4",0.121
"4",0.121
"11",0.061
"16",0.061
"1",0.121
"12",0.121
"12",0.424
"9",0.182
"9",0.121
"12",0.061
"4",0.424
"4",8.598
"16",0.121
"12",0.363
"12",0.242
"9",0.061
"16",0.121
"1",0.061
"9",0.121
"16",0.727
"16",0.242
"1",0.061
"4",0.121
"12",0.061
"4",0.182
"12",0.121
"9",0.121
"12",0.061
"12",0.424
"4",0.242
"1",0.061
"9",0.061
"1",0.121
"16",0.061
"12",0.121
"1",0.424
"4",0.061
"4",0.969
"4",0.182
"12",0.242
"16",0.908
"12",0.121
"11",0.121
"12",0.121
"9",0.121
"9",0.363
"9",0.121
"4",0.182
"12",0.061
"9",0.242
"9",5.813
"4",0.061
"4",0.121
"12",0.303
"9",0.061
"4",0.061
"12",0.182
